n,theta_decimal,rho_decimal,bin,strand,slip,jump,next_bin,reference_x_numeric,approximate_x_numeric,approximate_bin_numeric,phase_error_numeric,ideal_bin_certified,numeric_bin_agrees
160,0.1145618000168242872661065,0.4679102006561472033781536,4,1,0,15,19,0.11456180001682428,0.11456180001681981,4,4.440892098500626e-15,true,true
161,0.4965278112669294390615197,0.3645846394102481233992670,19,1,0,15,34,0.49652781126692946,0.49652781126692497,19,4.496403249731884e-15,true,true
162,0.8784938225170345908569328,0.2612590781643490434203805,34,1,0,15,10,0.8784938225170346,0.8784938225170301,34,4.440892098500626e-15,true,true
163,0.2604598337671397426523460,0.1579335169184499634414939,10,1,0,15,25,0.26045983376713977,0.26045983376713533,10,4.440892098500626e-15,true,true
164,0.6424258450172448944477592,0.0546079556725508834626074,25,1,1,14,0,0.6424258450172449,0.6424258450172404,25,4.440892098500626e-15,true,true
165,0.0243918562673500462431723,0.9512823944266518034837209,0,0,0,15,15,0.024391856267350045,0.024391856267345524,0,4.496403249731884e-15,true,true
166,0.4063578675174551980385855,0.8479568331807527235048343,15,0,0,15,30,0.4063578675174552,0.4063578675174507,15,4.496403249731884e-15,true,true
167,0.7883238787675603498339987,0.7446312719348536435259478,30,0,0,15,6,0.7883238787675604,0.7883238787675558,30,4.551914400963142e-15,true,true
168,0.1702898900176655016294118,0.6413057106889545635470612,6,0,0,15,21,0.1702898900176655,0.17028989001766104,6,4.440892098500626e-15,true,true
169,0.5522559012677706534248250,0.5379801494430554835681747,21,0,0,15,36,0.5522559012677707,0.5522559012677661,21,4.551914400963142e-15,true,true
170,0.9342219125178758052202382,0.4346545881971564035892882,36,0,0,15,12,0.9342219125178758,0.9342219125178712,36,4.551914400963142e-15,true,true
171,0.3161879237679809570156513,0.3313290269512573236104016,12,0,0,15,27,0.31618792376798094,0.31618792376797633,12,4.6074255521944e-15,true,true
172,0.6981539350180861088110645,0.2280034657053582436315151,27,0,0,15,3,0.6981539350180861,0.6981539350180814,27,4.6629367034256575e-15,true,true
173,0.0801199462681912606064777,0.1246779044594591636526285,3,0,0,15,18,0.08011994626819126,0.08011994626818653,3,4.718447854656915e-15,true,true
174,0.4620859575182964124018908,0.0213523432135600836737420,18,0,1,14,32,0.4620859575182964,0.4620859575182917,18,4.718447854656915e-15,true,true
175,0.8440519687684015641973040,0.9180267819676610036948555,32,2,0,15,8,0.8440519687684016,0.8440519687683968,32,4.773959005888173e-15,true,true
176,0.2260179800185067159927172,0.8147012207217619237159689,8,2,0,15,23,0.2260179800185067,0.22601798001850204,8,4.6629367034256575e-15,true,true
177,0.6079839912686118677881303,0.7113756594758628437370824,23,2,0,15,38,0.6079839912686119,0.6079839912686071,23,4.773959005888173e-15,true,true
178,0.9899500025187170195835435,0.6080500982299637637581958,38,2,0,15,14,0.989950002518717,0.9899500025187122,38,4.773959005888173e-15,true,true
179,0.3719160137688221713789566,0.5047245369840646837793093,14,2,0,15,29,0.37191601376882216,0.37191601376881733,14,4.829470157119431e-15,true,true
180,0.7538820250189273231743698,0.4013989757381656038004228,29,2,0,15,5,0.7538820250189273,0.7538820250189224,29,4.884981308350689e-15,true,true
181,0.1358480362690324749697830,0.2980734144922665238215362,5,2,0,15,20,0.13584803626903247,0.13584803626902753,5,4.9404924595819466e-15,true,true
182,0.5178140475191376267651961,0.1947478532463674438426497,20,2,0,15,35,0.5178140475191376,0.5178140475191326,20,4.9960036108132044e-15,true,true
183,0.8997800587692427785606093,0.0914222920004683638637631,35,2,1,14,10,0.8997800587692428,0.8997800587692377,35,5.10702591327572e-15,true,true
184,0.2817460700193479303560225,0.9880967307545692838848766,10,1,0,15,25,0.2817460700193479,0.2817460700193428,10,5.10702591327572e-15,true,true
185,0.6637120812694530821514356,0.8847711695086702039059901,25,1,0,15,1,0.6637120812694531,0.6637120812694479,25,5.218048215738236e-15,true,true
186,0.0456780925195582339468488,0.7814456082627711239271035,1,1,0,15,16,0.04567809251955823,0.045678092519553015,1,5.218048215738236e-15,true,true
187,0.4276441037696633857422620,0.6781200470168720439482170,16,1,0,15,31,0.4276441037696634,0.42764410376965817,16,5.218048215738236e-15,true,true
188,0.8096101150197685375376751,0.5747944857709729639693304,31,1,0,15,7,0.8096101150197685,0.8096101150197633,31,5.218048215738236e-15,true,true
189,0.1915761262698736893330883,0.4714689245250738839904439,7,1,0,15,22,0.1915761262698737,0.19157612626986853,7,5.162537064506978e-15,true,true
